"track","stream","views"
"Scared of the Dark (feat. XXXTENTACION)","205327632","7163"
"Piya O Re Piya","32957897","7876"
"First Step","23482064","9613"
"The Watcher","85334262","1192"
"Bonkers","144537963","4623"
"Juicy - 2005 Remaster","619944753","7071"
"El Ultimo Adiós - Varios Artistas Version","169769959","8605"
"Montero: Adagio (After Bach's Violin Concerto No. 2, BWV 1042)","9099661","5670"
"Qué Tal Si Eres Tu","102194952","7019"
"(Rock) Superstar (feat. Chino Moreno & Everlast)","69035819","1257"
"Tatuajes","221459772","2672"
"Do You Hear What I Hear? - Remastered 2006","149519185","1122"
"Decadence","49338455","4613"
"Zóio De Lula","115181228","6770"
"Senhor Do Tempo","49266336","1406"
"Pala Pala","5822232","1313"
"Bets On Us","3479646","6310"
"Wind Quintet in E-Flat Major, Hess 19: II. Adagio maestoso","8969706","304"
"Ella Se Contradice (feat. Plan B)","58858159","3256"
"Last Train At 25 O'clock","9746313","1252"
"Manmadha","4803169","8392"
"Saami Saami (From ""Pushpa The Rise Part - 01"")","35799792","312"
"Jab Koi Baat Bigad Jaye (From ""Jurm"")","13652364","3133"
"Them Bones (2022 Remaster)","105831963","6597"
"Cello Concerto in E Minor, RV 409: II. Allegro","2067642","3997"
"Another Day - 2012 Remaster","24754190","7508"
"To Zion (feat. Carlos Santana)","62682051","4494"
"Good Time","75137770","5590"
"Sergio el Bailador","64503651","7006"
"Rockin' Around the Christmas Tree - Rerecorded Version","81403455","641"
"Santa Claus Is Coming To Town","1827873","4465"
"The Christmas Song (Chestnuts Roasting On an Open Fire)","18549494","3309"
"Magia","35720949","5712"
"Frosty The Snowman","19376196","7089"
"Por Qué Te Tengo Que Olvidar?","13051931","8455"
"Moon Age","7014786","629"
"Album for the Young, Op. 39: No. 3. Mamma (Maman)","20909481","5292"
"Variations on a Rococo Theme, Op. 33, TH 57: Var: VI. Andante","16083927","2527"
"We Are The World - Live","48806476","8008"
"El Ultimo Adiós - Varios Artistas Version","169769959","1067"
"Te Amo y Más","16295672","1327"
"All Gone (Aftermath)","6943922","805"
"Floods","22431459","3142"
"Baby It's Cold Outside","13074838","8419"
"Me va a extrañar (aka Unchain My Heart)","90738897","6882"
"Los Dos Amigos","106851674","2366"
"Prenda Querida","31016531","8028"
"Bistro","17983530","6962"
"Putham Puthu Kaalai","6122957","2595"
"Maahi Ve","35020295","1567"
"Thorn in My Side - Remastered","40454695","3027"
"When Tomorrow Comes - Remastered Version","19771543","2479"
"You're in Love","17963060","596"
"Higher Ground","32547543","3215"
"Why Not","4479366","8843"
"The Planets, Op. 32: 4. Jupiter, the Bringer of Jollity","4409738","1754"
"Bella Señora","108268132","9500"
"It's A Lovely Day Today","4525286","2920"
"It Came Upon A Midnight Clear","2078453","7757"
"Pehla Nasha","30106188","3807"
"Maahi Ve","35020295","1643"
"Angel","18456096","1225"
"Enfantillages pittoresques: II. Berceuse","20452217","4414"
"Mercure, Scene 1: La nuit","8512083","895"
"We'll Meet Again","25793565","9575"
"My Old School","30992144","4404"
"16 Waltzes, Op. 39 (Version for Piano Duet): No. 15 in A-Flat Major","10241974","1100"
"Abdelazer: Rondeau","1695760","1419"
"Sussex Carol (On Christmas Night)","2830445","4675"
"Capriol Suite: 5. Pied-en- l'air","3429614","3636"
"Peer Gynt Suite No.1 op. 46 Anitra's Dance (Tempo di Mazurka)","4831916","2125"
"Cançoneta for Violin and Orchestra","2499655","2978"
"Kaadhal Rojave (From ""Roja"")","11537347","2453"
"Neend Churayee Meri","11887824","147"
"Closer","194379950","930"
"Tchaikovsky: The Nutcracker, Op. 71, Act I, Scene 1: No. 3, Children's Galop and Entry of the Parents","6539154","9774"
"Águas De Março","129664764","288"
"Corcovado","24731026","2099"
"Para Machuchar Meu Coracao","44497356","3555"
"Enim er'u","22145948","7630"
"Alors on Danse Slowed","11947384","2403"
"Another Love - (Slowed)","20415617","540"
"Just Dance - Sped Up - Remix","3604661","3613"
"Bag End","7065608","1755"
"Sangrando","12751600","8254"
"Handel: Suite No. 11 in D Minor, HWV 437: III. Sarabande - Remastered 2022","2714585","6548"
"Ode to Joy to the World","5661627","3156"
"Messiah, HWV 56, Part I: Pastoral Symphony, ""Pifa"" (arr. L. Stokowski)","9592413","112"
"Rinaldo, HWV 7a, Act II, Scene 4: Lascia ch'io pianga - Arr. for French Horn","4810941","3472"
"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano & Bass)","6387480","9833"
"Mi Potra","20474126","4377"
"Symphony No. 25 in G Minor, K. 183: I. Allegro con brio","26979627","3159"
"Mozart: Concerto For Clarinet And Orchestra In A (K. 622)","2865633","293"
"Cantata No. 208 'Sheep may safely graze' (arr. Marinner)","10117463","335"
"Boccherini: String Quintet in E Major, Op. 13 No. 6, G. 282: III. Minuetto - Trio","4647688","3861"
"Capriol Suite: 5. Pied-en- l'air","3429614","3636"
"Puedes Llegar","6594454","6933"
"American Psycho","9512882","6423"
"I'm a Player - Street Version","31270170","4913"
"Kinderszenen, Op. 15: Träumerei (Arr. Lewin for Guitar)","17975751","4796"
"Etudes symphoniques (Symphonic Etudes), Op. 13, Adagio and Allegro brillante: Variation 11 [arr. P.I. Tchaikovsky for orchestra]","3002621","7605"
"Christmas, Why Can't I Find You_","5683925","410"
"Ain't No Mountain High Enough - DJ Komori Remix","1041439","5793"
"La Princesita Sueña","9164253","5221"
"Dilko Tumse Pyar Hua","11573558","5208"
"Gamma Ray","19648259","5454"
"Kong","54464487","1679"
"Dile Que Por Mí No Tema","6129868","3298"
"Piano Concerto in C-Sharp Minor, FP 146: I. Allegretto commodo - Live","3096863","888"
"Forces of Attraction","24641200","2798"
"Soldiers Prayer AM","2380657","2729"
"Homeboyz","1987583","1317"
"In Private","11856492","2628"
"Hymn to Her - 2007 Remaster","30855489","741"
"Here I Go Again - Radio Mix","86631233","1535"
"Aires De Navidad","11579341","3085"
"Triste Y Vacía","22770915","9215"
"Frühlingsglaube (Arr. Franz Liszt)","14087745","5244"
"Winterreise, Op. 89, D. 911 (arr. T. Zimmermann and H. Holl): No. 21. Tauschung","2219658","90"
"Schwanengesang, D. 957: Ständchen ""Leise flehen meine Lieder""","8002140","827"
"Variations on an Original Theme in A-Flat Major, D. 813: VI. Variation V","3104109","3335"
"El Duelo (feat. Ely Guerra)","80931522","2942"
"A Cura","10732125","1275"
"Apiádate de Mi","66472902","7152"
"Smoke Buddah","27644804","5043"
"I Die For You Today","3847115","2823"
"Párate Y Mira","29369639","6578"
"In Your Eyes","22389565","1394"
"On Broadway","29849385","9539"
"Once In Royal David’s City (Desc. by Philip Ledger)","3151004","6430"
"Hark! The Herald Angels Sing","2745500","5791"
"Bach, JS : Well-Tempered Clavier Book 1 : Prelude No.2 in C minor BWV847","2844041","9519"
"Nocturne No. 6 in G Minor, Op. 15 No. 3","12142412","1801"
"Bach, JS : Well-Tempered Clavier Book 2 : Prelude No.3 in C sharp major BWV872","1774873","9489"
"Thozhiya (From ""Kadhalil Vizhundhen"")","5139324","71"
"Burning for You - Remastered","1696278","6041"
"The Nutcracker Suite, Op. 71a, TH 35: IIb. Danses caractéristiques. Danse de la fée dragée","8170111","1802"
"Die Zauberflöte, K. 620 / Act II: ""Der Hölle Rache kocht in meinem Herzen""","8134201","1625"
"Shawshank Prison - Stoic Theme","14707032","5986"
"Oogway Ascends","32272478","2807"
"Adiós Amor","11464859","414"
"Vinmeen","7758824","9086"
"Blue (Da Ba Dee) X ADT RMX - X ADT extended rmx","2912990","1107"
"Cold Sweat","6960772","521"
"Ain't No Woman (Like The One I've Got)","15200444","3348"
"Fallen Angel - Remastered","39395759","61"
"6 Chants polonais, S. 480: No. 2, Frühling (Wiosna, Spring) [After Chopin's Op. 74]","6536788","1983"
"Consolations, S. 172: No. 3, Lento placido","3129230","5363"
"Por Enquanto - Ao Vivo","88922714","1027"
"Violin Concerto in D Major, Op. 61: II. Larghetto","1275280","4738"
"Tannhäuser, WWV 70 / Act 2: ""Dich, teure Halle, grüß ich wieder""","2326992","7729"
"Not Yet","4115973","648"
"Come Into My Life - Molella And Phil Jay Edit Mix","10197745","9210"
"Stop! In The Name Of Love - Single Version","104432224","1929"
"4th Chamber","32273171","4303"
"Khud Ko Tere","5802740","8598"
"Weihnachtszeit","7500715","2521"
"Perfect","102391139","8942"
"Forg_tful (with Kim Sawol)","14278506","5186"
"Why Are Sundays So Depressing","57177934","7253"
"Cuando Fue","26725299","2707"
"Ojala","56049759","8919"
"Ángel - Once in Your Lifetime","41775156","2841"
"Captain Santa Claus","1305004","6472"
"Tesouro de Pirata - Onda Onda","2029473","7031"
"Tesouro Do Pirata","1940826","7031"
"Let The Bass Kick In Miami Girl - The Only Way Is Essex Mix","15092931","4468"
"Bleed American","74827120","2933"
"LIGHTWAVES","4643598","7335"
"Just One","5348040","8162"
"I’m Here - Short Edit","1686372","983"
"Kiss Kiss Kiss - Remastered 2010","1472485","3607"
"Silent Night","1901995","364"
"Together - (Cedric Gervais Remix) [Edit]","5959330","986"
"Beach Waves and Soothing Brown Noise","54256600","328"
"Beach Waves and Soothing Brown Noise","54256600","328"
"Attitude","11395581","1843"
"Crazy (Single Mix) - 2022 Remaster","27546216","2027"
"Soy Un Desastre","51611106","2803"
"Mágico Amor","8230091","138"
"Mientele","30302874","1761"
"Kiss Me","5232479","5115"
"Dumb","148020199","5525"
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","1004576500","26"
"Life Lessons (feat. Headie One)","8111957","3721"
"So Cold - Remix","114453801","1687"
"40oz. To Freedom","55681213","4460"
"Kabira - VIP Remix","2045481","3618"
"Untitled","18537103","738"
"Baby It's Cold Outside","13074838","8419"
"Alwayz Into Somethin'","51610535","8081"
"Until We Meet Again","21328917","2221"
"Meu Violão E O Nosso Cachorro - Ao Vivo","12122913","8375"
"Oh Yes","7306930","4972"
"Tras De Mí","55416538","33"
"Un Poco De Tu Amor","24828338","1318"
"Black Qualls","17202456","1362"
"Wonderful Christmastime","9366402","6987"
"Life During Wartime - 2005 Remaster","17290497","9177"
"The Christmas Song","23161469","5254"
"Days Like This","1009300","7185"
"Outcast","2699545","5250"
"WWE: Head of the Table (Roman Reigns)","14853972","6565"
"Cochinae (Remix)","1445818","5652"
"Metro Spider (with Young Thug)","39002783","3223"
"Enséñame","33507683","7113"
"Un Poco De Tu Amor","24828338","430"
"Sure Thing (8D sped up)","2671652","6592"
"Sure Thing (8D sped up)","2671652","6592"
"ANTIGRAVITY","1293585","7119"
"Flowers In December","15018548","3082"
"Come Over - Radio Version","5210282","4963"
"Sensacion Del Bloque","219067589","630"
"Le 100 le 100","4387822","349"
"Resistiré","48533462","49"
"Dans l'appart'","3271713","511"
"Oasis","3014998","4073"
"Brand New 911","8475286","6063"
"Tennessee Love","33818056","7762"
"Jaane Kyu Main","11053925","1672"
"Tum Chhupa Na Sakogi - Unplugged","16300692","4495"
"Saari Raat","6988215","1151"
"Ek Pal Ki Bhi Judai","1714013","4495"
"Haus am See","61892979","2680"
"Dancing in the Dark - triple j Like A Version","2539094","8124"
"Luz Que Me Traz Paz","39740476","4584"
"Fröhliche Weihnacht überall","15231837","4103"
"FANTASTIC BABY - Japanese ver.","100209861","2094"
"Grey Magic","24521061","3944"
"The End","9840486","2929"
"Rosyln","287485443","6856"
"Ghosting","84488060","7578"
"Waltz","5343816","2057"
"Distractions","6789443","4910"
"The hall is dancing","4435418","7245"
"I Can't Love","8368506","2903"
"I Like It","5555742","6260"
"Midnight Bottle","18914642","6983"
"Way Back","6787387","1667"
"Buzz Down","11051877","6213"
"TURN ON THE LIGHTS (TECHNO)","1428279","9823"
"Amém","1375131","896"
"Clean White Noise - Loopable with no fade","956435715","1492"
"Air Conditioner - Loopable with no fade","26677287","407"
"Womb Sound - Loopable with no fade","21907443","41"
"Cricket Sound 4 - Loopable With No Fade","9390850","4283"
"Clean White Noise - Loopable, No Fade","26018007","1492"
"Pussy Talk","111204411","853"
"Vamp Anthem","156759159","2622"
"Long Time - Intro","186025229","3765"
"Are You Satisfied?","128638361","6006"
"The Family Jewels","21839067","8966"
"Jacque*** Bag","4862081","206"
"Franklin Saint","4481996","3304"
"Hold Me Down","4552902","4182"
"PRIDE.","355858839","5356"
"KICK BACK -ANIME edit","3074563","559"
"If You Ever Wanna Be In Love - James Bay Spotify Session 2015","182400827","3468"
"Guten Abend, gut' Nacht","17032776","2280"
"Mary","59442658","2261"
"Change","14179541","645"
"Cigarettes out the Window","148314997","9588"
"The Blonde","19364063","851"
"Ojala","56049759","8919"
"Clean White Noise - Loopable with no fade","956435715","1492"
"Air Conditioner - Loopable with no fade","26677287","407"
"Arms","82862876","361"
"Valentine's Mashup 2019","55399812","7489"
"Raindrops (Insane) [with Travis Scott]","55173171","1823"
"Cry","145910603","4109"
"First Love/Late Spring","217858017","3776"
"Stjernestøv","14567286","498"
"Cocaine Sunday","40532400","6554"
"Shattered Dreams","34944764","6181"
"Mala Mia","18770392","4442"
"Solitude (with BIA & Lucky Daye)","1555113","9441"
"Ferrari - Remix","42822171","9298"
"Imaginate","124665260","4063"
"White Christmas - Spotify Singles - Holiday, Recorded at Air Studios, London","74324145","406"
"Almost Back","12288570","809"
"Bad Idea","15064524","9054"
"COLOGNE","33608487","1467"
"Moonlight","69252754","437"
"Nihil","89125744","7926"
"Moon Song","63303848","736"
"Love It Here","22203098","1054"
"Dead Shot (with Lil Uzi Vert)","10988431","7411"
"Away","17277509","4078"
"Chapters","17643550","7588"
"DARK BROTHERHOOD (feat. Lil Baby)","4886298","8852"
"Amoeba","83964366","3328"
"Hello?","158873579","587"
"Problème","1901385","5570"
"Flawlëss (feat. Lil Uzi Vert)","50795324","8377"
"Low Key (Bonus)","46316482","4959"
"Deep","133508603","819"
"Replay","21567400","3940"
"Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo","168832440","3877"
"Snowy","5176458","7132"
"Secrets - Sped Up Version","3608989","8073"
"Howl's Moving Castle Lofi (Merry Go Round)","7160277","1701"
"Peças De Griffe","13036197","1723"
"Relaxing Baby White Noise Piano","2670893","2032"
"Peacefull Paino and White Noise","2128592","797"
"ONLY GIRL HARDSTYLE","6873961","6533"
